user_id,item_id,sentiment_score,timestamp,mood,time_of_day,day_of_week,weather,event_type
1,718021,4.0,1648548491,sad,afternoon,Monday,snowy,watch
1,1410100,4.0,1635051947,happy,evening,Tuesday,clear,watch
1,1225107,4.5,1621915728,neutral,morning,Sunday,clear,watch
1,1396122,4.5,1585417025,happy,morning,Wednesday,sunny,watch
1,925715,5.0,1583703463,neutral,evening,Thursday,rainy,watch
1,993637,4.0,1670202264,relaxed,night,Sunday,clear,watch
1,1410100,4.0,1578594023,happy,night,Tuesday,clear,watch
1,993637,5.0,1647726535,excited,afternoon,Thursday,cloudy,watch
1,1016346,3.5,1641763865,sad,night,Wednesday,clear,watch
1,245188,3.5,1645851884,neutral,morning,Saturday,cloudy,watch
2,950387,5.0,1622570339,relaxed,morning,Thursday,sunny,watch
2,1087192,4.5,1596016683,excited,evening,Saturday,cloudy,watch
2,1289601,4.5,1651018905,neutral,morning,Monday,snowy,watch
2,541671,4.0,1601280844,happy,evening,Monday,rainy,watch
2,552524,5.0,1600749568,excited,morning,Saturday,clear,watch
2,575265,5.0,1616701830,excited,afternoon,Saturday,sunny,watch
2,1152619,4.5,1592807649,sad,afternoon,Thursday,cloudy,watch
2,1239193,4.5,1582034566,excited,evening,Monday,snowy,watch
2,803796,5.0,1631243129,happy,afternoon,Sunday,snowy,watch
2,1127110,4.0,1625959674,happy,evening,Friday,snowy,watch
2,1100988,5.0,1643854439,excited,morning,Tuesday,sunny,watch
2,574475,4.0,1650709650,excited,afternoon,Friday,clear,watch
2,1376434,4.0,1639737218,relaxed,evening,Monday,rainy,watch
2,1087891,4.0,1648409929,sad,afternoon,Saturday,sunny,watch
2,10191,3.5,1647150201,sad,evening,Sunday,cloudy,watch
2,1426776,5.0,1605251261,relaxed,evening,Wednesday,snowy,watch
3,1110390,5.0,1641193161,excited,night,Tuesday,clear,watch
3,1112426,5.0,1598664532,excited,afternoon,Saturday,sunny,watch
3,585268,4.5,1646368738,sad,morning,Tuesday,cloudy,watch
3,1216780,4.5,1614224536,relaxed,evening,Tuesday,clear,watch
3,1045931,5.0,1608706402,happy,morning,Thursday,rainy,watch
3,554600,4.5,1642961248,happy,night,Sunday,clear,watch
3,538858,5.0,1597958328,sad,evening,Wednesday,cloudy,watch
3,1156202,5.0,1601775857,sad,evening,Wednesday,cloudy,watch
3,1137339,5.0,1655986273,excited,evening,Monday,clear,watch
3,1301632,5.0,1630294562,neutral,morning,Tuesday,snowy,watch
3,1143407,3.5,1626349409,happy,afternoon,Sunday,clear,watch
3,1190511,4.0,1630334185,relaxed,morning,Friday,cloudy,watch
3,10757,4.5,1621971304,sad,night,Saturday,snowy,watch
4,61202,4.0,1645022179,excited,morning,Sunday,sunny,watch
4,1196943,4.5,1672409102,excited,afternoon,Saturday,clear,watch
4,581361,3.5,1660113101,relaxed,morning,Wednesday,rainy,watch
4,1201012,4.5,1647754577,happy,evening,Wednesday,rainy,watch
4,1233208,4.5,1622547326,sad,evening,Sunday,clear,watch
4,1143407,5.0,1590762254,happy,morning,Sunday,cloudy,watch
4,14194,4.5,1638419973,sad,night,Saturday,snowy,watch
4,1110390,5.0,1665458347,excited,afternoon,Friday,clear,watch
